iata_code,airport_name,city_name
JGS,吉安井冈山机场,吉安
LFQ,临汾尧都机场,临汾
LNL,陇南成县机场,陇南
MXZ,梅州梅县机场,梅州
OHE,漠河古莲机场,漠河
AHJ,阿坝红原机场,阿坝
BAR,琼海博鳌机场,琼海
NGQ,阿里昆莎机场,狮泉河
SYM,普洱思茅机场,思茅
XFN,襄阳刘集机场,襄阳
QSZ,莎车叶尔羌机场,莎车
YZY,张掖甘州机场,张掖
SYX,三亚凤凰国际机场,三亚
SQJ,三明机场,三明
SHA,上海虹桥国际机场,上海
PVG,上海浦东国际机场,上海
SQD,上饶机场,上饶
DOY,东营机场,东营
LYI,临沂机场,临沂
LJG,丽江机场,丽江
YIW,义乌机场,义乌
HLH,乌兰浩特机场,乌兰浩特
WUA,乌海机场,乌海
URC,乌鲁木齐地窝堡国际机场,乌鲁木齐
YIN,伊宁机场,伊宁
JMU,佳木斯机场,佳木斯
KRY,克拉玛依机场,克拉玛依
LHW,兰州中川国际机场,兰州
BAV,包头机场,包头
PEK,北京首都国际机场,北京
PKX,北京大兴国际机场,北京
BHY,北海机场,北海
WDS,十堰机场,十堰
NKG,南京禄口国际机场,南京
NAO,南充机场,南充
NNG,南宁吴圩国际机场,南宁
KHN,南昌昌北国际机场,南昌
NTG,南通兴东国际机场,南通
NNY,南阳机场,南阳
XMN,厦门高崎国际机场,厦门
HFE,合肥新桥国际机场,合肥
LLV,吕梁机场,吕梁
HET,呼和浩特白塔国际机场,呼和浩特
HTN,和田机场,和田
HMI,哈密机场,哈密
HRB,哈尔滨太平国际机场,哈尔滨
KHG,喀什机场,喀什
JGN,嘉峪关机场,嘉峪关
DQA,大庆机场,大庆
DLU,大理机场,大理
DLC,大连周水子国际机场,大连
TSN,天津滨海国际机场,天津
TYN,太原武宿国际机场,太原
WEH,威海大水泊国际机场,威海
NGB,宁波栎社国际机场,宁波
AKA,安康机场,安康
YBP,宜宾机场,宜宾
YIH,宜昌机场,宜昌
YIC,宜春机场,宜春
RLK,巴彦淖尔机场,巴彦淖尔
CZX,常州奔牛国际机场,常州
CGD,常德机场,常德
GYS,广元机场,广元
CAN,广州白云国际机场,广州
KRL,库尔勒机场,库尔勒
KCA,库车机场,库车
YNJ,延吉机场,延吉
ENY,延安机场,延安
JSJ,建三江机场,建三江
ZQZ,张家口机场,张家口
DYG,张家界机场,张家界
XUZ,徐州观音国际机场,徐州
ENH,恩施机场,恩施
HUZ,惠州平潭机场,惠州
CTU,成都双流国际机场,成都
TFU,成都天府国际机场,成都
YTY,扬州泰州国际机场,扬州
CDE,承德机场,承德
LXA,拉萨贡嘎国际机场,拉萨
PZI,攀枝花机场,攀枝花
DNH,敦煌机场,敦煌
WUX,苏南硕放国际机场,无锡
RKZ,日喀则机场,日喀则
KMG,昆明长水国际机场,昆明
BPX,昌都机场,昌都
JDZ,景德镇机场,景德镇
HGH,杭州萧山国际机场,杭州
YSQ,松原机场,松原
LZY,林芝机场,林芝
LZH,柳州机场,柳州
GOQ,格尔木机场,格尔木
KWL,桂林两江国际机场,桂林
UYN,榆林机场,榆林
WUS,武夷山机场,武夷山
WUH,武汉天河国际机场,武汉
HZG,汉中机场,汉中
SWA,汕头机场,汕头
JUH,池州机场,池州
SHE,沈阳桃仙国际机场,沈阳
JJN,泉州晋江国际机场,泉州
LZO,泸州机场,泸州
TNA,济南遥墙国际机场,济南
JNG,济宁机场,济宁
HAK,海口美兰国际机场,海口
HLD,海拉尔机场,海拉尔
HIA,淮安涟水国际机场,淮安
SZX,深圳宝安国际机场,深圳
WNZ,温州龙湾国际机场,温州
ZHA,湛江机场,湛江
WEF,潍坊机场,潍坊
YNT,烟台蓬莱国际机场,烟台
YUS,玉树机场,玉树
ZUH,珠海金湾机场,珠海
YNZ,盐城南洋国际机场,盐城
SJW,石家庄正定国际机场,石家庄
FOC,福州长乐国际机场,福州
DCY,稻城机场,稻城
MIG,绵阳机场,绵阳
TCZ,腾冲机场,腾冲
HSN,舟山机场,舟山
LUM,芒市机场,芒市
YKH,营口机场,营口
HNY,衡阳机场,衡阳
JUZ,衢州机场,衢州
JHG,西双版纳机场,西双版纳
XNN,西宁曹家堡国际机场,西宁
XIY,西安咸阳国际机场,西安
XIC,西昌机场,西昌
KWE,贵阳龙洞堡国际机场,贵阳
KOW,赣州机场,赣州
CIF,赤峰机场,赤峰
YCU,运城机场,运城
LYG,连云港机场,连云港
TNH,通化机场,通化
TGO,通辽机场,通辽
ZYI,遵义机场,遵义
WMT,遵义机场,遵义
HDG,邯郸机场,邯郸
WGN,邵阳机场,邵阳
CGO,郑州新郑国际机场,郑州
DSN,鄂尔多斯机场,鄂尔多斯
CKG,重庆江北国际机场,重庆
TEN,铜仁机场,铜仁
INC,银川河东国际机场,银川
XIL,锡林浩特机场,锡林浩特
CGQ,长春龙嘉国际机场,长春
CSX,长沙黄花国际机场,长沙
CIH,长治机场,长治
FUG,阜阳机场,阜阳
AKU,阿克苏机场,阿克苏
AAT,阿勒泰机场,阿勒泰
TAO,青岛胶东国际机场,青岛
HYN,黄岩机场,黄岩
NDG,齐齐哈尔机场,齐齐哈尔
BZX,巴中恩阳机场,巴中
HSC,韶关丹霞机场,韶关
JNH,嘉兴南湖机场,嘉兴
LGZ,山南隆子机场,山南
LIJ,丽水机场,丽水
SHF,石河子花园机场,石河子
SHS,荆州沙市机场,荆州
TWC,图木舒克唐王城机场,图木舒克
YTW,于田万方机场,于田
FYJ,抚远东极机场,抚远
