flight_no,weekday
CA1501,1
CA1501,2
CA1501,3
CA1501,4
CA1501,5
CA1501,6
CA1501,7
CA1502,1
CA1502,2
CA1502,3
CA1502,4
CA1502,5
CA1502,6
CA1502,7
MU5101,1
MU5101,2
MU5101,3
MU5101,4
MU5101,5
MU5101,6
MU5101,7
MU5102,1
MU5102,2
MU5102,3
MU5102,4
MU5102,5
MU5102,6
MU5102,7
CZ3901,1
CZ3901,2
CZ3901,3
CZ3901,4
CZ3901,5
CZ3901,6
CZ3901,7
CZ3902,1
CZ3902,2
CZ3902,3
CZ3902,4
CZ3902,5
CZ3902,6
CZ3902,7
CA1301,1
CA1301,2
CA1301,3
CA1301,4
CA1301,5
CA1301,6
CA1301,7
CA1302,1
CA1302,2
CA1302,3
CA1302,4
CA1302,5
CA1302,6
CA1302,7
CZ3101,1
CZ3101,2
CZ3101,3
CZ3101,4
CZ3101,5
CZ3101,6
CZ3101,7
CZ3102,1
CZ3102,2
CZ3102,3
CZ3102,4
CZ3102,5
CZ3102,6
CZ3102,7
ZH9101,1
ZH9101,2
ZH9101,3
ZH9101,4
ZH9101,5
ZH9101,6
ZH9101,7
ZH9102,1
ZH9102,2
ZH9102,3
ZH9102,4
ZH9102,5
ZH9102,6
ZH9102,7
CA1405,1
CA1405,2
CA1405,3
CA1405,4
CA1405,5
CA1405,6
CA1405,7
CA1406,1
CA1406,2
CA1406,3
CA1406,4
CA1406,5
CA1406,6
CA1406,7
3U8881,1
3U8881,2
3U8881,3
3U8881,4
3U8881,5
3U8881,6
3U8881,7
3U8882,1
3U8882,2
3U8882,3
3U8882,4
3U8882,5
3U8882,6
3U8882,7
CA1429,1
CA1429,2
CA1429,3
CA1429,4
CA1429,5
CA1429,6
CA1429,7
CA1430,1
CA1430,2
CA1430,3
CA1430,4
CA1430,5
CA1430,6
CA1430,7
MU2111,1
MU2111,2
MU2111,3
MU2111,4
MU2111,5
MU2111,6
MU2111,7
MU2112,1
MU2112,2
MU2112,3
MU2112,4
MU2112,5
MU2112,6
MU2112,7
CA1710,1
CA1710,2
CA1710,3
CA1710,4
CA1710,5
CA1710,6
CA1710,7
CA1711,1
CA1711,2
CA1711,3
CA1711,4
CA1711,5
CA1711,6
CA1711,7
MU2881,1
MU2881,2
MU2881,3
MU2881,4
MU2881,5
MU2881,6
MU2881,7
MU2882,1
MU2882,2
MU2882,3
MU2882,4
MU2882,5
MU2882,6
MU2882,7
CA8207,1
CA8207,2
CA8207,3
CA8207,4
CA8207,5
CA8207,6
CA8207,7
CA8208,1
CA8208,2
CA8208,3
CA8208,4
CA8208,5
CA8208,6
CA8208,7
CZ3123,1
CZ3123,2
CZ3123,3
CZ3123,4
CZ3123,5
CZ3123,6
CZ3123,7
CZ3124,1
CZ3124,2
CZ3124,3
CZ3124,4
CZ3124,5
CZ3124,6
CZ3124,7
MU5702,1
MU5702,2
MU5702,3
MU5702,4
MU5702,5
MU5702,6
MU5702,7
MU5703,1
MU5703,2
MU5703,3
MU5703,4
MU5703,5
MU5703,6
MU5703,7
MF8118,1
MF8118,2
MF8118,3
MF8118,4
MF8118,5
MF8118,6
MF8118,7
MF8117,1
MF8117,2
MF8117,3
MF8117,4
MF8117,5
MF8117,6
MF8117,7
SC4652,1
SC4652,2
SC4652,3
SC4652,4
SC4652,5
SC4652,6
SC4652,7
SC4651,1
SC4651,2
SC4651,3
SC4651,4
SC4651,5
SC4651,6
SC4651,7
CA8905,1
CA8905,2
CA8905,3
CA8905,4
CA8905,5
CA8905,6
CA8905,7
CA8906,1
CA8906,2
CA8906,3
CA8906,4
CA8906,5
CA8906,6
CA8906,7
CZ6101,1
CZ6101,2
CZ6101,3
CZ6101,4
CZ6101,5
CZ6101,6
CZ6101,7
CZ6102,1
CZ6102,2
CZ6102,3
CZ6102,4
CZ6102,5
CZ6102,6
CZ6102,7
CA1621,1
CA1621,2
CA1621,3
CA1621,4
CA1621,5
CA1621,6
CA1621,7
CA1622,1
CA1622,2
CA1622,3
CA1622,4
CA1622,5
CA1622,6
CA1622,7
MU5137,1
MU5137,2
MU5137,3
MU5137,4
MU5137,5
MU5137,6
MU5137,7
MU5138,1
MU5138,2
MU5138,3
MU5138,4
MU5138,5
MU5138,6
MU5138,7
CZ3572,1
CZ3572,2
CZ3572,3
CZ3572,4
CZ3572,5
CZ3572,6
CZ3572,7
CZ3571,1
CZ3571,2
CZ3571,3
CZ3571,4
CZ3571,5
CZ3571,6
CZ3571,7
ZH9501,1
ZH9501,2
ZH9501,3
ZH9501,4
ZH9501,5
ZH9501,6
