flight_no,scheduled_departure,scheduled_arrival,fuel_infra_fee,base_price,dep_airport_code,dep_terminal,arr_airport_code,arr_terminal,airline_code,aircraft_model
9C6101,19:50:00,23:05:00,50,750,SHA,T1,TFU,T2,9C,A321
9C6102,8:30:00,11:05:00,50,980,TFU,T2,SHA,T1,9C,A320
9C6111,12:00:00,14:00:00,50,680,SWA,T1,NKG,T1,9C,A320
9C6112,15:00:00,17:10:00,50,550,NKG,T1,SWA,T1,9C,A320
9C6115,10:40:00,13:50:00,50,700,SJW,T2,BHY,T1,9C,A321
9C6116,18:50:00,20:15:00,50,530,SJW,T2,DLC,T1,9C,A321
9C6121,8:00:00,9:55:00,50,710,LHW,T3,KWE,T2,9C,A321
9C6122,11:05:00,13:15:00,50,800,KWE,T2,LHW,T3,9C,A321
9C6133,18:00:00,20:30:00,50,770,LHW,T3,HFE,T1,9C,A321
9C6134,14:35:00,17:10:00,50,760,HFE,T1,LHW,T3,9C,A320
9C6153,22:55:00,2:05:00,50,710,PVG,T2,CKG,T3,9C,A320
9C6154,5:40:00,8:05:00,50,800,CKG,T3,PVG,T2,9C,A320
9C6155,9:00:00,12:15:00,50,630,SJW,T2,ZUH,T1,9C,A321
9C6156,13:05:00,16:05:00,50,710,ZUH,T1,SJW,T2,9C,A320
9C6167,9:00:00,11:55:00,50,980,YTY,T1,INC,T1,9C,A321
9C6168,12:45:00,15:25:00,50,660,INC,T1,YTY,T1,9C,A320
9C6173,11:00:00,13:15:00,50,830,CZX,T1,SWA,T1,9C,A321
9C6174,22:40:00,0:50:00,50,770,CZX,T1,SHE,T3,9C,A321
9C6187,7:20:00,10:00:00,50,800,LHW,T3,NKG,T1,9C,A320
9C6188,11:05:00,14:00:00,50,610,NKG,T1,LHW,T3,9C,A320
9C6189,17:00:00,18:45:00,50,530,HRB,T2,OHE,T1,9C,A320
9C6190,22:10:00,1:10:00,50,560,HRB,T2,PVG,T2,9C,A321
9C6195,7:10:00,9:50:00,50,700,YTY,T1,CKG,T3,9C,A320
9C6196,10:55:00,13:05:00,50,480,CKG,T3,YTY,T1,9C,A320
9C6201,7:40:00,9:30:00,50,620,SJW,T2,INC,T1,9C,A321
9C6202,10:20:00,12:05:00,50,570,INC,T1,SJW,T2,9C,A321
9C6215,19:25:00,21:10:00,50,740,SHA,T1,JJN,T1,9C,A320
