iata_code,airport_name,city_name
三字码,机场名称,所在城市
AAT,阿勒泰机场,阿勒泰
ADL,阿德莱德机场,阿德莱德
AKA,安康富强机场,安康
AKL,奥克兰机场,奥克兰
AKU,阿克苏红旗坡机场,阿克苏
AMS,阿姆斯特丹史基浦机场,阿姆斯特丹
AQG,安庆天柱山机场,安庆
ATH,雅典埃莱夫塞里奥斯·韦尼泽洛斯机场,雅典
BAV,包头东河机场,包头
BHY,北海福成机场,北海
BKK,曼谷素万那普机场,曼谷
BNE,布里斯班机场,布里斯班
CAN,广州白云机场,广州
CBR,堪培拉机场,堪培拉
CDG,巴黎戴高乐机场,巴黎
CGK,雅加达苏加诺-哈达机场,雅加达
CGQ,长春龙嘉机场,长春
CGO,郑州新郑机场,郑州
CIF,赤峰玉龙机场,赤峰
CKG,重庆江北机场,重庆
CNS,凯恩斯机场,凯恩斯
CSX,长沙黄花机场,长沙
CTU,成都双流机场,成都
CXR,金兰国际机场,芽庄
CZX,常州奔牛机场,常州
DCY,稻城亚丁机场,稻城
DDG,丹东浪头机场,丹东
DLC,大连周水子机场,大连
DOH,多哈哈马德国际机场,多哈
DPS,登巴萨努拉莱伊机场,登巴萨
DQA,大庆萨尔图机场,大庆
DTU,五大连池德都机场,黑河
DXB,迪拜国际机场,迪拜
DYG,张家界荷花机场,张家界
DYU,杜尚别国际机场,杜尚别
ENH,恩施许家坪机场,恩施
ENY,延安南泥湾机场,延安
FCO,罗马菲乌米奇诺机场,罗马
FOC,福州长乐机场,福州
FYJ,抚远东极机场,抚远
GMP,首尔金浦国际机场,首尔
GXH,甘南夏河机场,甘南
GZG,甘孜康定机场,甘孜
HAK,海口美兰机场,海口
HAN,河内内排国际机场,河内
HBA,霍巴特机场,霍巴特
HEK,黑河瑷珲机场,五大连池
HET,呼和浩特白塔机场,呼和浩特
HFE,合肥新桥机场,合肥
HGH,杭州萧山机场,杭州
HKG,香港国际机场,香港
HKT,普吉国际机场,普吉
HND,东京羽田机场,东京
HRB,哈尔滨太平机场,哈尔滨
HSC,韶关机场,韶关
HSN,舟山普陀山机场,舟山
ICN,首尔仁川国际机场,首尔
INC,银川河东机场,银川
IST,伊斯坦布尔机场,伊斯坦布尔
JGD,加格达奇机场,加格达奇
JHG,西双版纳嘎洒机场,西双版纳
JJN,泉州晋江机场,泉州
JNH,嘉兴南湖机场,嘉兴
KCA,库车龟兹机场,库车
KHG,喀什徕宁机场,喀什
KHN,南昌昌北机场,南昌
KMG,昆明长水机场,昆明
KTI,金边崇德国际机场,金边
KUL,吉隆坡国际机场,吉隆坡
KWE,贵阳龙洞堡机场,贵阳
KWL,桂林两江机场,桂林
LAX,洛杉矶国际机场,洛杉矶
LDS,伊春林都机场,伊春
LHW,兰州中川机场,兰州
LIJ,丽水机场,丽水
LJG,丽江三义机场,丽江
LUM,德宏芒市机场,芒市
LXA,拉萨贡嘎机场,拉萨
LYG,连云港花果山机场,连云港
LZY,林芝米林机场,林芝
MAD,马德里巴拉哈斯机场,马德里
MCY,阳光海岸机场,阳光海岸
MEL,墨尔本机场,墨尔本
MFM,澳门国际机场,澳门
MKY,麦凯机场,麦凯
NGB,宁波栎社机场,宁波
NKG,南京禄口机场,南京
NNG,南宁吴圩机场,南宁
OOL,黄金海岸机场,黄金海岸
PEK,北京首都国际机场,北京
PER,珀斯机场,珀斯
PKX,北京大兴国际机场,北京
PVG,上海浦东国际机场,上海
QSZ,且末玉都机场,且末
SGN,新山一国际机场,胡志明市
SHA,上海虹桥国际机场,上海
SHE,沈阳桃仙机场,沈阳
SIN,新加坡樟宜机场,新加坡
SJW,石家庄正定机场,石家庄
SWA,揭阳潮汕机场,揭阳
SYD,悉尼金斯福德·史密斯机场,悉尼
SYX,三亚凤凰机场,三亚
SZX,深圳宝安机场,深圳
TAO,青岛胶东机场,青岛
TAS,塔什干国际机场,塔什干
TFU,成都天府机场,成都
TLQ,吐鲁番交河机场,吐鲁番
TNA,济南遥墙机场,济南
TPE,台北桃园机场,台北
TSN,天津滨海机场,天津
TSV,汤斯维尔机场,汤斯维尔
TYN,太原武宿机场,太原
URC,乌鲁木齐地窝堡机场,乌鲁木齐
UYN,榆林榆阳机场,榆林
VTE,万象瓦岱国际机场,万象
WEH,威海大水泊机场,威海
WNZ,温州龙湾机场,温州
WUH,武汉天河机场,武汉
WUX,无锡硕放机场,无锡
XFN,襄阳刘集机场,襄阳
XIY,西安咸阳国际机场,西安
XMN,厦门高崎机场,厦门
XNN,西宁曹家堡机场,西宁
XUZ,徐州观音机场,徐州
YBP,宜宾五粮液机场,宜宾
YCU,运城张孝机场,运城
YIH,宜昌三峡机场,宜昌
YIN,伊宁机场,伊宁
YIW,义乌机场,义乌
YNZ,盐城南洋机场,盐城
YTY,扬州泰州机场,扬州
ZHA,湛江吴川机场,湛江
ZHY,中卫沙坡头机场,中卫
ZUH,珠海金湾机场,珠海
