iata_code,airport_name,city_name
AAT,阿勒泰机场,阿勒泰
AKA,安康富强机场,安康
AKU,阿克苏红旗坡机场,阿克苏
AQG,安庆天柱山机场,安庆
BAV,包头东河机场,包头
BHY,北海福成机场,北海
BZX,巴中恩阳机场,巴中
CAN,广州白云机场,广州
CGQ,长春龙嘉机场,长春
CGO,郑州新郑机场,郑州
CIF,赤峰玉龙机场,赤峰
CKG,重庆江北机场,重庆
CSX,长沙黄花机场,长沙
CTU,成都双流机场,成都
CZX,常州奔牛机场,常州
DCY,稻城亚丁机场,稻城
DDG,丹东浪头机场,丹东
DLC,大连周水子机场,大连
DQA,大庆萨尔图机场,大庆
DTU,五大连池德都机场,黑河
DYG,张家界荷花机场,张家界
ENH,恩施许家坪机场,恩施
ENY,延安南泥湾机场,延安
FOC,福州长乐机场,福州
FYJ,抚远东极机场,抚远
GXH,甘南夏河机场,甘南
GZG,甘孜康定机场,甘孜
HAK,海口美兰机场,海口
HEK,黑河瑷珲机场,五大连池
HET,呼和浩特白塔机场,呼和浩特
HFE,合肥新桥机场,合肥
HGH,杭州萧山机场,杭州
HKG,香港国际机场,香港
HRB,哈尔滨太平机场,哈尔滨
HSC,韶关机场,韶关
HSN,舟山普陀山机场,舟山
INC,银川河东机场,银川
JGD,加格达奇机场,加格达奇
JHG,西双版纳嘎洒机场,西双版纳
JJN,泉州晋江机场,泉州
JNH,嘉兴南湖机场,嘉兴
KCA,库车龟兹机场,库车
KHG,喀什徕宁机场,喀什
KHN,南昌昌北机场,南昌
KMG,昆明长水机场,昆明
KWE,贵阳龙洞堡机场,贵阳
KWL,桂林两江机场,桂林
LDS,伊春林都机场,伊春
LHW,兰州中川机场,兰州
LIJ,丽水机场,丽水
LJG,丽江三义机场,丽江
LUM,德宏芒市机场,芒市
LXA,拉萨贡嘎机场,拉萨
LYA,洛阳北郊机场,洛阳
LYG,连云港花果山机场,连云港
LZH,柳州白莲机场,柳州
LZY,林芝米林机场,林芝
MFM,澳门国际机场,澳门
NGB,宁波栎社机场,宁波
NKG,南京禄口机场,南京
NNG,南宁吴圩机场,南宁
NTG,南通兴东机场,南通
NZL,扎兰屯成吉思汗机场,扎兰屯
PEK,北京首都国际机场,北京
PKX,北京大兴国际机场,北京
PVG,上海浦东国际机场,上海
QSZ,且末玉都机场,且末
SHA,上海虹桥国际机场,上海
SHE,沈阳桃仙机场,沈阳
SHS,荆州沙市机场,荆州
SJW,石家庄正定机场,石家庄
SWA,揭阳潮汕机场,揭阳
SYX,三亚凤凰机场,三亚
SZX,深圳宝安机场,深圳
TAO,青岛胶东机场,青岛
TFU,成都天府机场,成都
TLQ,吐鲁番交河机场,吐鲁番
TNA,济南遥墙机场,济南
TPE,台北桃园机场,台北
TSN,天津滨海机场,天津
TWC,塔城千泉机场,塔城
TYN,太原武宿机场,太原
URC,乌鲁木齐地窝堡机场,乌鲁木齐
UYN,榆林榆阳机场,榆林
WEH,威海大水泊机场,威海
WNZ,温州龙湾机场,温州
WUH,武汉天河机场,武汉
WUX,无锡硕放机场,无锡
XFN,襄阳刘集机场,襄阳
XIC,西昌青山机场,西昌
XIY,西安咸阳国际机场,西安
XMN,厦门高崎机场,厦门
XNN,西宁曹家堡机场,西宁
XUZ,徐州观音机场,徐州
YBP,宜宾五粮液机场,宜宾
YCU,运城张孝机场,运城
YIH,宜昌三峡机场,宜昌
YIN,伊宁机场,伊宁
YIW,义乌机场,义乌
YKH,营口兰旗机场,营口
YNZ,盐城南洋机场,盐城
YTY,扬州泰州机场,扬州
ZHA,湛江吴川机场,湛江
ZHY,中卫沙坡头机场,中卫
ZUH,珠海金湾机场,珠海
ZYI,遵义新舟机场,遵义
