flight_no,weekday
CZ7008,7
CZ32,7
CZ4873,7
CZ7179,7
CZ4540,7
CZ4403,7
CZ1905,7
CZ21,7
CZ9182,7
CZ181,7
CZ4815,7
CZ4311,7
CZ4283,7
CZ90,7
CZ4431,7
CZ4831,7
CZ100,7
CZ46,7
CZ4258,7
CZ4208,7
CZ9074,7
CZ202,7
CZ208,7
CZ168,7
CZ9157,7
CZ9058,7
CZ9050,7
CZ1490,7
CZ4117,7
CZ4299,7
CZ4062,7
CZ4289,7
CZ4318,7
CZ7176,7
CZ4441,7
CZ9204,7
CZ1922,7
CZ4793,7
CZ4610,7
CZ4353,7
CZ9298,7
CZ4103,7
CZ9140,7
CZ9138,7
CZ1970,7
CZ4028,7
CZ29,7
CZ9048,7
CZ9304,7
CZ97,7
CZ1787,7
CZ4132,7
CZ4191,7
CZ6756,7
CZ4925,7
CZ1904,7
CZ4616,7
CZ94,7
CZ9046,7
CZ9327,7
CZ9268,7
CZ4668,7
CZ50,7
CZ4211,7
CZ4393,7
CZ9468,7
CZ72,7
CZ4274,7
CZ4281,7
CZ4443,7
CZ5608,7
CZ4879,7
CZ1419,7
CZ4915,7
CZ130,7
CZ4037,7
CZ7087,7
CZ1500,7
CZ4110,7
CZ6558,7
CZ1845,7
CZ9067,7
CZ4647,7
CZ6442,7
CZ6472,7
CZ7146,7
CZ4149,7
CZ4994,7
CZ4948,7
CZ9318,7
CZ4005,7
CZ9156,7
CZ4071,7
CZ9203,7
CZ7018,7
CZ1954,7
CZ9024,7
CZ9162,7
CZ4660,7
CZ4279,7
CZ9408,7
CZ4813,1
CZ4605,1
CZ4903,1
CZ4837,1
CZ4399,1
CZ4739,1
CZ1579,1
CZ3894,1
CZ82,1
CZ9061,1
CZ7002,1
CZ4963,1
CZ9105,1
CZ4825,1
CZ3465,1
CZ1782,1
CZ11,1
CZ1955,1
CZ35,1
CZ4451,1
CZ4160,1
CZ9173,1
CZ9317,1
CZ4919,1
CZ4877,1
CZ9355,1
CZ4829,1
CZ1945,1
CZ9343,1
CZ9191,1
CZ4933,1
CZ4284,1
CZ9113,1
CZ4228,1
CZ9185,1
CZ9121,1
CZ7161,1
CZ9199,1
CZ9155,1
CZ4444,1
CZ7443,1
CZ6219,1
CZ1819,1
CZ6145,1
CZ3591,1
CZ3811,1
CZ3463,1
CZ3521,1
