flight_no,scheduled_departure,scheduled_arrival,fuel_infra_fee,dep_airport_code,dep_terminal,arr_airport_code,arr_terminal,airline_code,aircraft_model
CZ7008,14:55:00,18:15:00,50,JNH,T2,CTU,T1,CZ,A321
CZ32,14:30:00,17:25:00,60,TFU,T1,SHA,T1,CZ,B738
CZ4873,16:15:00,18:20:00,60,TFU,T2,NKG,T1,CZ,A359
CZ7179,15:55:00,18:30:00,50,HGH,T2,PEK,T1,CZ,B772
CZ4540,16:25:00,18:15:00,60,XMN,T3,CSX,T2,CZ,B737
CZ4403,16:10:00,17:55:00,50,SHA,T2,XMN,T1,CZ,C919
CZ1905,16:05:00,18:30:00,60,HGH,T2,PKX,T1,CZ,AJ27
CZ21,15:45:00,18:00:00,60,PVG,T3,CSX,T2,CZ,AJ27
CZ9182,15:05:00,18:10:00,50,PVG,T2,CTU,T3,CZ,A321
CZ181,14:05:00,16:30:00,60,TFU,T1,NKG,T2,CZ,A319
CZ4815,13:30:00,15:50:00,60,TFU,T2,CAN,T1,CZ,A332
CZ4311,15:55:00,18:25:00,60,KMG,T2,XMN,T3,CZ,A20N
CZ4283,15:35:00,17:40:00,60,CAN,T3,HGH,T1,CZ,B738
CZ90,15:10:00,16:55:00,60,PVG,T3,TAO,T3,CZ,A320
CZ4431,16:30:00,18:20:00,60,NKG,T2,XMN,T3,CZ,B788
CZ4831,15:10:00,17:05:00,50,TFU,T3,CSX,T2,CZ,A332
CZ100,15:55:00,18:40:00,60,PVG,T3,XIY,T2,CZ,B789
CZ46,14:55:00,16:50:00,50,SHA,T1,CSX,T3,CZ,B788
CZ4258,15:50:00,17:45:00,60,XMN,T1,WUH,T1,CZ,B77W
CZ4208,15:30:00,17:00:00,50,XMN,T1,CAN,T3,CZ,B738
CZ9074,15:30:00,18:00:00,50,SZX,T2,CTU,T3,CZ,B789
CZ202,14:50:00,17:10:00,60,SHA,T2,CAN,T1,CZ,A333
CZ208,14:35:00,16:50:00,50,SHA,T2,SZX,T3,CZ,A359
CZ168,15:25:00,18:15:00,60,NKG,T3,HRB,T1,CZ,B77W
CZ9157,14:00:00,16:35:00,50,CTU,T3,HGH,T2,CZ,A21N
CZ9058,14:25:00,15:45:00,60,KMG,T3,CTU,T2,CZ,A321
CZ9050,12:00:00,14:00:00,60,LZY,T2,CTU,T1,CZ,A359
CZ1490,14:05:00,16:45:00,50,PKX,T3,CKG,T1,CZ,B738
CZ4117,14:05:00,17:05:00,50,PKX,T3,FOC,T2,CZ,A21N
CZ4299,12:00:00,14:40:00,60,TFU,T1,XMN,T2,CZ,A333
CZ4062,15:00:00,17:50:00,50,XMN,T3,PKX,T2,CZ,A332
CZ4289,14:15:00,16:30:00,60,SZX,T1,HGH,T1,CZ,B77W
