flght_no,scheduled_departure,scheduled_arrival,fuel_infra_fee,dep_airport_code,dep_terminal,arr_airport_code,arr_terminal,airline_code,aircraft_model
CZ1520,14:40:00,16:50:00,50,TFU,T1,BKK,T3,CZ,C919
CZ7008,14:55:00,18:15:00,50,JNH,T2,CTU,T1,CZ,A321
CZ32,14:30:00,17:25:00,60,TFU,T1,SHA,T1,CZ,B738
CZ4873,16:15:00,18:20:00,60,TFU,T2,NKG,T1,CZ,A359
CZ1836,11:50:00,16:05:00,60,KTI,T3,CKG,T1,CZ,A21N
CZ7179,15:55:00,18:30:00,50,HGH,T2,PEK,T1,CZ,B772
CZ4540,16:25:00,18:15:00,60,XMN,T3,CSX,T2,CZ,B737
CZ4403,16:10:00,17:55:00,50,SHA,T2,XMN,T1,CZ,C919
CZ1905,16:05:00,18:30:00,60,HGH,T2,PKX,T1,CZ,AJ27
CZ7952,16:20:00,17:30:00,60,CAN,T2,HAN,T3,CZ,B77W
CZ21,15:45:00,18:00:00,60,PVG,T3,CSX,T2,CZ,AJ27
CZ1510,10:40:00,15:25:00,60,TFU,T1,SIN,T2,CZ,B788
CZ9182,15:05:00,18:10:00,50,PVG,T2,CTU,T3,CZ,A321
CZ181,14:05:00,16:30:00,60,TFU,T1,NKG,T2,CZ,A319
CZ4815,13:30:00,15:50:00,60,TFU,T2,CAN,T1,CZ,A332
CZ4311,15:55:00,18:25:00,60,KMG,T2,XMN,T3,CZ,A20N
CZ4283,15:35:00,17:40:00,60,CAN,T3,HGH,T1,CZ,B738
CZ90,15:10:00,16:55:00,60,PVG,T3,TAO,T3,CZ,A320
CZ4431,16:30:00,18:20:00,60,NKG,T2,XMN,T3,CZ,B788
CZ4831,15:10:00,17:05:00,50,TFU,T3,CSX,T2,CZ,A332
CZ100,15:55:00,18:40:00,60,PVG,T3,XIY,T2,CZ,B789
CZ46,14:55:00,16:50:00,50,SHA,T1,CSX,T3,CZ,B788
CZ4258,15:50:00,17:45:00,60,XMN,T1,WUH,T1,CZ,B77W
CZ4208,15:30:00,17:00:00,50,XMN,T1,CAN,T3,CZ,B738
CZ9074,15:30:00,18:00:00,50,SZX,T2,CTU,T3,CZ,B789
CZ202,14:50:00,17:10:00,60,SHA,T2,CAN,T1,CZ,A333
CZ208,14:35:00,16:50:00,50,SHA,T2,SZX,T3,CZ,A359
CZ168,15:25:00,18:15:00,60,NKG,T3,HRB,T1,CZ,B77W
CZ9157,14:00:00,16:35:00,50,CTU,T3,HGH,T2,CZ,A21N
CZ9058,14:25:00,15:45:00,60,KMG,T3,CTU,T2,CZ,A321
CZ9050,12:00:00,14:00:00,60,LZY,T2,CTU,T1,CZ,A359
CZ1490,14:05:00,16:45:00,50,PKX,T3,CKG,T1,CZ,B738
CZ4117,14:05:00,17:05:00,50,PKX,T3,FOC,T2,CZ,A21N
CZ4299,12:00:00,14:40:00,60,TFU,T1,XMN,T2,CZ,A333
CZ4062,15:00:00,17:50:00,50,XMN,T3,PKX,T2,CZ,A332
CZ4289,14:15:00,16:30:00,60,SZX,T1,HGH,T1,CZ,B77W
CZ1014,17:45:00,19:25:00,60,SYD,T3,ADL,T3,CZ,B772
CZ4318,14:50:00,17:45:00,60,XMN,T3,CKG,T3,CZ,A320
CZ2982,13:45:00,19:15:00,50,KTI,T2,TAO,T1,CZ,A319
CZ7176,13:55:00,16:15:00,50,SZX,T1,HGH,T2,CZ,A320
CZ4441,14:10:00,15:55:00,50,SHA,T3,XMN,T1,CZ,B737
CZ9204,14:50:00,17:25:00,60,NKG,T1,CTU,T1,CZ,A20N
CZ1922,13:40:00,15:40:00,50,PKX,T1,HGH,T2,CZ,A21N
CZ4793,16:05:00,18:20:00,60,TFU,T2,LXA,T3,CZ,A320
CZ4610,13:15:00,16:10:00,60,KMG,T1,HGH,T1,CZ,B772
CZ4353,13:45:00,16:10:00,50,CKG,T1,FOC,T1,CZ,A21N
CZ9298,16:25:00,18:00:00,50,FYJ,T3,HRB,T3,CZ,A320
CZ4103,13:15:00,15:35:00,50,PKX,T1,HGH,T1,CZ,C919
CZ9140,15:30:00,18:30:00,50,PEK,T3,CTU,T3,CZ,A319
CZ9138,13:30:00,16:15:00,60,PEK,T3,CTU,T2,CZ,A359
CZ1970,14:30:00,16:40:00,50,NKG,T1,PKX,T1,CZ,AJ27
CZ4028,15:10:00,16:55:00,50,TAO,T1,CGQ,T1,CZ,B772
CZ29,14:10:00,16:15:00,60,PVG,T1,CGO,T1,CZ,A332
CZ9048,11:05:00,12:55:00,60,LZY,T3,CTU,T1,CZ,AJ27
CZ9304,13:50:00,17:00:00,50,XMN,T2,CTU,T3,CZ,A20N
CZ97,15:25:00,18:00:00,50,KWE,T1,SHA,T2,CZ,A320
CZ1787,16:30:00,18:35:00,60,LHW,T1,KMG,T3,CZ,A21N
CZ4132,16:50:00,19:00:00,50,NKG,T3,YCU,T3,CZ,C919
CZ4191,12:15:00,14:50:00,60,XIY,T1,FOC,T1,CZ,B737
CZ6756,16:40:00,18:45:00,60,DDG,T3,PVG,T1,CZ,B789
CZ4925,13:55:00,15:25:00,60,CKG,T1,CSX,T1,CZ,B772
CZ1904,12:35:00,14:35:00,50,PKX,T1,HGH,T2,CZ,A321
CZ4616,16:15:00,18:40:00,50,LXA,T2,CKG,T1,CZ,AJ27
