city_name,iata_code,distance
海口,HAK,0
海口,BAR,0
三亚,SYX,0
三亚,BAR,160
三亚,HAK,230
三沙,SYX,340
三沙,BAR,430
三沙,HAK,520
儋州,HAK,130
儋州,BAR,190
儋州,SYX,250
广州,CAN,0
广州,SZX,110
广州,HUZ,120
广州,ZUH,135
韶关,HSC,0
韶关,CAN,190
韶关,HUZ,240
深圳,SZX,0
深圳,HKG,35
深圳,MFM,70
深圳,HUZ,80
深圳,ZUH,95
珠海,ZUH,0
珠海,MFM,35
珠海,HKG,70
珠海,SZX,95
珠海,CAN,130
汕头,SWA,35
汕头,MXZ,160
汕头,XMN,250
佛山,CAN,55
佛山,ZUH,120
佛山,SZX,140
江门,ZUH,80
江门,CAN,105
江门,MFM,110
江门,SZX,140
湛江,ZHA,0
湛江,BHY,160
湛江,HAK,180
湛江,SYX,290
茂名,ZHA,100
茂名,BHY,190
茂名,HAK,250
肇庆,CAN,100
肇庆,ZUH,160
肇庆,HUZ,200
惠州,HUZ,0
惠州,SZX,85
惠州,CAN,140
惠州,SWA,250
梅州,MXZ,0
梅州,SWA,120
梅州,XMN,240
梅州,HUZ,260
汕尾,HUZ,150
汕尾,SZX,170
汕尾,SWA,190
河源,HUZ,120
河源,CAN,190
河源,SZX,200
河源,MXZ,210
阳江,ZHA,180
阳江,ZUH,190
阳江,CAN,230
清远,CAN,70
清远,HSC,170
清远,HUZ,210
东莞,SZX,65
东莞,CAN,85
东莞,HKG,115
东莞,HUZ,120
中山,ZUH,65
中山,MFM,90
中山,CAN,100
中山,SZX,110
潮州,SWA,25
潮州,MXZ,140
潮州,XMN,220
揭阳,SWA,0
揭阳,MXZ,110
揭阳,XMN,210
揭阳,HUZ,260
云浮,CAN,150
云浮,ZUH,220
云浮,ZHA,250
福州,FOC,0
福州,JJN,180
福州,WUS,220
福州,XMN,260
厦门,XMN,0
厦门,JJN,75
厦门,SWA,240
厦门,FOC,250
莆田,FOC,100
莆田,JJN,110
莆田,XMN,180
三明,SQJ,0
三明,WUS,180
三明,FOC,220
三明,JJN,250
泉州,JJN,0
泉州,XMN,70
泉州,FOC,170
泉州,SWA,260
漳州,XMN,60
漳州,JJN,110
漳州,SWA,220
南平,WUS,0
南平,SQJ,190
南平,FOC,220
南平,WNZ,250
龙岩,SQJ,180
龙岩,XMN,190
龙岩,JJN,210
龙岩,SWA,240
宁德,FOC,90
宁德,WNZ,170
宁德,WUS,240
杭州,HGH,0
杭州,JNH,80
杭州,YIW,140
杭州,NGB,150
杭州,SHA,170
宁波,NGB,0
宁波,HSN,90
宁波,HGH,160
宁波,HYN,170
温州,WNZ,0
温州,HYN,130
温州,LIJ,160
温州,HSN,260
嘉兴,JNH,0
嘉兴,HGH,80
嘉兴,SHA,90
嘉兴,PVG,120
嘉兴,WUX,130
湖州,HGH,85
湖州,JNH,100
湖州,WUX,130
湖州,SHA,160
绍兴,HGH,45
绍兴,NGB,120
绍兴,YIW,130
金华,YIW,0
金华,JUZ,120
金华,HGH,150
金华,LIJ,150
衢州,JUZ,0
衢州,YIW,120
衢州,HGH,220
衢州,SQJ,250
舟山,HSN,0
舟山,NGB,90
舟山,PVG,160
舟山,HYN,220
台州,HYN,0
台州,WNZ,130
台州,NGB,170
台州,HSN,220
丽水,LIJ,0
丽水,WNZ,150
丽水,YIW,160
丽水,HYN,190
上海,SHA,0
上海,PVG,0
南京,NKG,0
南京,CZX,110
南京,YTY,120
南京,WUX,160
无锡,WUX,0
无锡,CZX,60
无锡,SHA,140
无锡,NKG,160
徐州,XUZ,0
徐州,HIA,190
徐州,LYG,200
徐州,JNG,220
常州,CZX,0
常州,WUX,50
常州,YTY,110
常州,NKG,120
苏州,WUX,45
苏州,CZX,90
苏州,SHA,100
苏州,JNH,110
南通,NTG,0
南通,SHA,120
南通,WUX,120
南通,YTY,170
连云港,LYG,0
连云港,HIA,130
连云港,XUZ,210
连云港,YNZ,210
淮安,HIA,0
淮安,LYG,140
淮安,YTY,140
淮安,YNZ,160
盐城,YNZ,0
盐城,HIA,120
盐城,YTY,170
盐城,NTG,190
扬州,YTY,0
扬州,NKG,100
扬州,CZX,110
扬州,HIA,140
镇江,YTY,60
镇江,NKG,80
镇江,CZX,80
镇江,WUX,120
泰州,YTY,55
泰州,CZX,100
泰州,NKG,130
泰州,NTG,140
宿迁,HIA,120
宿迁,XUZ,140
宿迁,LYG,190
宿迁,YTY,200
济南,TNA,0
济南,JNG,180
济南,WEF,200
济南,DOY,230
青岛,TAO,0
青岛,WEF,160
青岛,YNT,220
青岛,WEH,260
淄博,TNA,100
淄博,WEF,140
淄博,DOY,160
枣庄,XUZ,90
枣庄,JNG,160
枣庄,LYI,170
东营,DOY,0
东营,WEF,120
东营,TNA,230
东营,YNT,260
烟台,YNT,0
烟台,WEH,80
烟台,DLC,170
烟台,TAO,220
潍坊,WEF,0
潍坊,DOY,120
潍坊,TAO,160
潍坊,TNA,200
济宁,JNG,0
济宁,TNA,180
济宁,XUZ,180
济宁,LYI,210
泰安,TNA,90
泰安,JNG,160
泰安,WEF,230
威海,WEH,0
威海,YNT,80
威海,DLC,200
威海,TAO,260
日照,LYG,120
日照,LYI,130
日照,TAO,150
日照,WEF,220
临沂,LYI,0
临沂,LYG,110
临沂,XUZ,190
临沂,JNG,210
德州,TNA,130
德州,TSN,210
德州,SJW,220
聊城,TNA,130
聊城,HDG,170
聊城,JNG,210
滨州,DOY,100
滨州,TNA,150
滨州,WEF,190
菏泽,JNG,110
菏泽,CGO,220
菏泽,TNA,240
石家庄,SJW,0
石家庄,HDG,160
石家庄,PEK,290
石家庄,TSN,300
唐山,TSN,120
唐山,PEK,160
唐山,PKX,190
唐山,CDE,220
秦皇岛,DLC,220
秦皇岛,CDE,240
秦皇岛,TSN,260
秦皇岛,PEK,290
邯郸,HDG,0
邯郸,SJW,160
邯郸,CGO,230
邯郸,TYN,260
邢台,HDG,60
邢台,SJW,120
邢台,TYN,240
保定,PKX,130
保定,SJW,160
保定,PEK,180
保定,TSN,220
张家口,ZQZ,0
张家口,PEK,180
张家口,PKX,220
张家口,CDE,260
承德,CDE,0
承德,PEK,200
承德,PKX,250
承德,TSN,280
沧州,TSN,120
沧州,PKX,170
沧州,TNA,230
廊坊,PKX,40
廊坊,PEK,70
廊坊,TSN,90
衡水,SJW,150
衡水,TNA,180
衡水,PKX,210
北京,PEK,0
北京,PKX,0
天津,TSN,0
天津,PKX,110
天津,PEK,120
沈阳,SHE,0
沈阳,YKH,180
沈阳,DDG,220
沈阳,CGQ,300
大连,DLC,0
大连,YNT,170
大连,YKH,200
大连,DDG,280
鞍山,SHE,100
鞍山,YKH,100
鞍山,DLC,250
抚顺,SHE,70
抚顺,YKH,220
抚顺,CGQ,270
本溪,SHE,80
本溪,DDG,170
本溪,YKH,190
丹东,DDG,0
丹东,SHE,220
丹东,YKH,250
丹东,DLC,280
锦州,YKH,170
锦州,SHE,230
锦州,CDE,260
营口,YKH,0
营口,SHE,180
营口,DLC,200
营口,DDG,240
