flight_no,stop_order,airport_code
FM1035,1,KHN
FM1037,1,CGO
FM1050,1,XUZ
FM2618,1,XUZ
FM2939,1,KMG
FM3199,1,HFE
FM3492,1,INC
FM3728,1,LYA
FM3892,1,HET
FM4155,1,LHW
FM4331,1,XUZ
FM4441,1,HAK
FM5067,1,NNG
FM5457,1,TNA
FM5693,1,HAK
FM5841,1,SHE
FM5916,1,LHW
FM7278,1,XIY
FM7545,1,HAK
FM7912,1,KWE
FM8225,1,XIY
FM8282,1,XMN
FM8373,1,WUX
FM8443,1,TYN
FM8865,1,PKX
FM8889,1,NGB
FM8988,1,TAO
FM9077,1,NGB
FM9542,1,NGB
FM9996,1,NGB
MU1037,1,ZUH
MU1119,1,INC
MU1275,1,TAO
MU1276,1,HGH
MU1346,1,ZUH
MU1416,1,DLC
MU1420,1,NGB
MU1427,1,WNZ
MU1540,1,HAK
MU1583,1,CGO
MU1783,1,HGH
MU1975,1,KWL
MU2032,1,HUZ
MU2103,1,PVG
MU2213,1,WNZ
MU2277,1,XNN
MU2407,1,KWL
MU2466,1,SYX
MU2497,1,XUZ
MU2515,1,YNT
MU2524,1,HRB
MU2759,1,HAK
MU2811,1,CKG
MU3026,1,SZX
MU3126,1,HIA
MU3130,1,FOC
MU3245,1,XUZ
MU3278,1,WEH
MU3752,1,XNN
MU3852,1,XMN
MU3858,1,SHE
MU3894,1,KWE
MU3967,1,TNA
MU3988,1,WUH
MU4010,1,HRB
MU4259,1,TSN
MU4266,1,LHW
MU4357,1,CSX
MU4405,1,KHN
MU4442,1,CTU
MU4488,1,WUX
MU4537,1,HET
MU4583,1,HUZ
MU4682,1,TYN
MU4779,1,LXA
MU4813,1,YNT
MU4825,1,CSX
MU5051,1,CAN
MU5282,1,HUZ
MU5407,1,SZX
MU5487,1,SHA
MU5530,1,FOC
MU5558,1,ZUH
MU5669,1,CAN
MU5782,1,PEK
MU5958,1,XIY
MU6104,1,NNG
MU6135,1,SHE
MU6143,1,HGH
MU6274,1,ZUH
MU6286,1,CAN
MU6310,1,CKG
MU6413,1,XIY
MU6447,1,SHA
MU6646,1,PVG
MU6673,1,CKG
MU6756,1,HUZ
MU6785,1,LXA
MU6860,1,SZX
MU6892,1,CTU
MU6898,1,CTU
MU6930,1,KWL
MU6979,1,HIA
MU7062,1,WUX
MU7067,1,TNA
MU7117,1,HGH
MU7124,1,CSX
MU7157,1,XIY
MU7219,1,XMN
MU7263,1,CGO
MU7317,1,KMG
MU7398,1,FOC
MU7419,1,LHW
MU7432,1,YTY
MU7479,1,INC
MU7569,1,KWL
MU7583,1,LXA
MU7605,1,CZX
MU7772,1,XUZ
MU7848,1,HUZ
MU7877,1,KHN
MU7903,1,WUH
MU7914,1,LXA
MU8027,1,LHW
MU8062,1,HIA
MU8168,1,LYA
MU8187,1,WUX
MU8350,1,HUZ
MU8381,1,XMN
MU8517,1,XMN
MU8639,1,SHA
MU8646,1,TNA
MU8871,1,WEH
MU9015,1,WEH
MU9039,1,KHN
MU9366,1,ZUH
MU9497,1,LHW
MU9557,1,XNN
MU9673,1,YTY
MU9704,1,WUX
MU9723,1,NTG
MU9780,1,NKG
MU9920,1,CSX
MU9943,1,PVG
CA1245,1,INC
CA7945,1,XIY
CA1215,1,TYN
CA3599,1,CGO
CA4370,1,CGO
9C6495,1,INC
9C8865,1,XIY
CA3600,1,CKG
CZ1542,1,LHW
CZ2297,1,TFU
CZ3245,1,CKG
CZ3393,1,XIY
CZ3575,1,CKG
CZ4044,1,LHW
CZ5715,1,XIY
CZ6336,1,XIY
CZ7828,1,CGO
CZ9085,1,XIY
CZ9184,1,INC
CZ9526,1,XIY
CZ9887,1,INC
CZ9891,1,CKG
SC3837,1,CKG
SC6591,1,INC
9C7651,1,HET
9C9963,1,XIY
CZ2682,1,XIY
CZ3973,1,HET
CZ4408,1,WUH
CZ4440,1,LHW
CZ5489,1,TYN
CZ5954,1,LHW
CZ6728,1,INC
CZ7570,1,CGO
CZ8058,1,HET
CZ8187,1,XIY
CZ8351,1,LHW
HU7707,1,HET
MF2994,1,TYN
SC1141,1,XIY
SC5761,1,XIY
3U8901,1,TFU
CA3272,1,CGO
CZ1747,1,CGO
CZ1938,1,HET
CZ2458,1,INC
CZ2803,1,CGO
CZ3186,1,LHW
CZ3944,1,INC
CZ4314,1,LHW
CZ4438,1,CGO
CZ4648,1,HET
CZ4752,1,LHW
CZ5396,1,LHW
CZ6053,1,TFU
CZ6216,1,CKG
CZ6505,1,XNN
CZ7947,1,CKG
CZ8581,1,WUH
CZ8991,1,INC
CZ9556,1,XNN
SC4924,1,LHW
CA4369,1,TFU
CA4906,1,XIY
CZ1666,1,XNN
CZ2762,1,XNN
CZ3023,1,INC
CZ3693,1,TFU
CZ5196,1,CKG
CZ5327,1,LHW
CZ5682,1,HET
CZ6610,1,CGO
CZ6658,1,XNN
CZ7030,1,XIY
CZ7270,1,CGO
CZ7539,1,TYN
CZ8237,1,TYN
GJ2991,1,HET
JD2840,1,HET
KN3998,1,XNN
SC4860,1,LHW
9C1956,1,INC
9C7137,1,HET
9C7151,1,LHW
CA1255,1,LHW
CZ1023,1,XIY
CZ1882,1,XNN
CZ2357,1,LHW
CZ3012,1,HET
CZ3085,1,WUH
CZ3165,1,INC
CZ4125,1,XIY
CZ5555,1,TFU
CZ6153,1,TFU
CZ9985,1,HET
SC4535,1,KMG
9C4938,1,HET
9C6884,1,XNN
9C9404,1,TYN
CA4611,1,LHW
CA7946,1,CGO
CZ2767,1,WUH
CZ3124,1,WUH
CZ3427,1,INC
CZ3979,1,XNN
CZ4803,1,HET
CZ5928,1,TFU
CZ6391,1,CGO
CZ8421,1,TFU
CZ8973,1,INC
CZ8992,1,LHW
CZ9186,1,XIY
CZ9374,1,HET
CZ9523,1,TYN
CZ9752,1,LHW
GJ4320,1,CKG
MF4283,1,XNN
SC6491,1,CGO
TV7331,1,LHW
9C2012,1,TYN
9C6253,1,LHW
9C6396,1,HET
CA1216,1,XIY
CZ1231,1,XNN
CZ3192,1,XIY
CZ4402,1,CGO
CZ6047,1,LHW
CZ6681,1,CKG
CZ7207,1,WUH
CZ7867,1,WUH
CZ7955,1,HET
CZ9041,1,HET
CZ9289,1,XIY
MF3819,1,LHW
MF8863,1,INC
SC4259,1,XIY
ZH7564,1,INC
CA1257,1,XIY
CZ1650,1,LHW
CZ2041,1,XNN
CZ2143,1,WUH
CZ2738,1,XIY
CZ3593,1,TFU
CZ3722,1,HET
CZ4243,1,CGO
CZ4494,1,TFU
CZ4928,1,LHW
CZ5430,1,INC
CZ5624,1,LHW
CZ5933,1,CKG
CZ6483,1,INC
MF6111,1,LHW
SC3462,1,XNN
SC4018,1,LHW
SC5963,1,WUH
9C6928,1,HET
9C7652,1,LHW
CA4612,1,XIY
CA4671,1,LHW
CZ1606,1,LHW
CZ2888,1,HET
CZ2906,1,LHW
CZ3892,1,WUH
CZ4040,1,TYN
CZ4669,1,XIY
CZ4675,1,LHW
CZ5732,1,LHW
CZ6932,1,CKG
CZ8391,1,LHW
SC5867,1,TYN
SC8348,1,LHW
TV2305,1,INC
9C7973,1,LHW
9C8175,1,XIY
CA2525,1,CKG
CA3273,1,TYN
CA4948,1,XIY
CA7971,1,CKG
CZ1830,1,INC
CZ2566,1,CGO
CZ3378,1,INC
CZ3416,1,INC
CZ4493,1,CKG
CZ4586,1,XIY
CZ4683,1,HET
CZ5168,1,CKG
CZ5521,1,XIY
CZ5838,1,LHW
CZ6093,1,LHW
CZ6574,1,WUH
CZ7287,1,XIY
CZ8827,1,XNN
HO7106,1,TYN
HU4178,1,KMG
9C2070,1,XIY
9C6496,1,HET
9C8238,1,LHW
9C8482,1,XIY
9C8866,1,CGO
9C9860,1,XIY
CA1233,1,TYN
CA2509,1,XNN
CA2736,1,CSX
CA3624,1,XIY
CZ1134,1,TYN
CZ1835,1,XIY
CZ1912,1,XNN
CZ2572,1,HET
CZ3975,1,XIY
CZ6403,1,CGO
CZ6835,1,CGO
CZ7548,1,XIY
CZ7788,1,XIY
CZ7919,1,XNN
CZ8350,1,HET
CZ8875,1,XNN
CZ9799,1,HET
CZ9892,1,HET
HO6451,1,HET
SC4816,1,INC
SC6448,1,INC
SC9585,1,XIY
9C1445,1,LHW
9C6381,1,CGO
9C7369,1,LHW
CA1253,1,HET
CA2503,1,KMG
CA2740,1,CSX
CA4062,1,CGO
CA4706,1,HET
CZ1036,1,WUH
CZ1180,1,HET
CZ1345,1,CGO
