flight_no,scheduled_departure,scheduled_arrival,fuel_infra_fee,dep_airport_code,dep_terminal,arr_airport_code,arr_terminal,airline_code,aircraft_model
9C6101,19:50:00,23:05:00,50,SHA,T1,TFU,T2,9C,A321
9C6102,8:30:00,11:05:00,50,TFU,T2,SHA,T1,9C,A320
9C6111,12:00:00,14:00:00,50,SWA,T1,NKG,T1,9C,A320
9C6112,15:00:00,17:10:00,50,NKG,T1,SWA,T1,9C,A320
9C6115,10:40:00,13:50:00,50,SJW,T2,BHY,T1,9C,A321
9C6116,18:50:00,20:15:00,50,SJW,T2,DLC,T1,9C,A321
9C6121,8:00:00,9:55:00,50,LHW,T3,KWE,T2,9C,A321
9C6122,11:05:00,13:15:00,50,KWE,T2,LHW,T3,9C,A321
9C6133,18:00:00,20:30:00,50,LHW,T3,HFE,T1,9C,A321
9C6134,14:35:00,17:10:00,50,HFE,T1,LHW,T3,9C,A320
9C6153,22:55:00,2:05:00,50,PVG,T2,CKG,T3,9C,A320
9C6154,5:40:00,8:05:00,50,CKG,T3,PVG,T2,9C,A320
9C6155,9:00:00,12:15:00,50,SJW,T2,ZUH,T1,9C,A321
9C6156,13:05:00,16:05:00,50,ZUH,T1,SJW,T2,9C,A320
9C6167,9:00:00,11:55:00,50,YTY,T1,INC,T1,9C,A321
9C6168,12:45:00,15:25:00,50,INC,T1,YTY,T1,9C,A320
9C6173,11:00:00,13:15:00,50,CZX,T1,SWA,T1,9C,A321
9C6174,22:40:00,0:50:00,50,CZX,T1,SHE,T3,9C,A321
9C6187,7:20:00,10:00:00,50,LHW,T3,NKG,T1,9C,A320
9C6188,11:05:00,14:00:00,50,NKG,T1,LHW,T3,9C,A320
9C6189,17:00:00,18:45:00,50,HRB,T2,OHE,T1,9C,A320
9C6190,22:10:00,1:10:00,50,HRB,T2,PVG,T2,9C,A321
9C6195,7:10:00,9:50:00,50,YTY,T1,CKG,T3,9C,A320
9C6196,10:55:00,13:05:00,50,CKG,T3,YTY,T1,9C,A320
9C6201,7:40:00,9:30:00,50,SJW,T2,INC,T1,9C,A321
9C6202,10:20:00,12:05:00,50,INC,T1,SJW,T2,9C,A321
9C6215,19:25:00,21:10:00,50,SHA,T1,JJN,T1,9C,A320
9C6216,21:55:00,23:40:00,50,JJN,T1,SHA,T1,9C,A321
9C6223,17:35:00,19:35:00,50,PVG,T2,SWA,T1,9C,A320
9C6224,13:15:00,15:20:00,50,SWA,T1,PVG,T2,9C,A320
9C6225,10:50:00,12:55:00,50,WDS,T1,NGB,T2,9C,A321
9C6226,16:50:00,18:30:00,50,WDS,T1,LHW,T3,9C,A321
9C6249,13:50:00,16:20:00,50,YTY,T1,CKG,T3,9C,A320
9C6250,17:50:00,20:15:00,50,CKG,T3,YTY,T1,9C,A320
9C6253,10:20:00,15:20:00,50,SJW,T2,YIN,T1,9C,A321
9C6254,16:05:00,20:35:00,50,YIN,T1,SJW,T2,9C,A320
9C6261,16:20:00,19:20:00,50,LYG,T1,CKG,T3,9C,A321
9C6262,23:40:00,1:25:00,50,LYG,T1,SHE,T3,9C,A320
9C6281,19:20:00,21:10:00,50,LHW,T3,CKG,T3,9C,A320
9C6282,22:25:00,0:25:00,50,CKG,T3,LHW,T3,9C,A320
9C6307,17:50:00,20:35:00,50,LHW,T3,NKG,T1,9C,A320
9C6308,21:35:00,0:30:00,50,NKG,T1,LHW,T3,9C,A320
9C6313,10:45:00,13:35:00,50,CGQ,T2,NGB,T2,9C,A321
9C6314,7:05:00,9:55:00,50,NGB,T2,CGQ,T2,9C,A320
9C6319,11:10:00,14:10:00,50,SJW,T2,JJN,T1,9C,A320
