iata_code,airport_name,city_name
CAN,广州白云国际机场,广州
CGO,郑州新郑国际机场,郑州
CKG,重庆江北国际机场,重庆
CSX,长沙黄花国际机场,长沙
CTU,成都双流国际机场,成都
CZX,常州奔牛国际机场,常州
DLC,大连周水子国际机场,大连
FOC,福州长乐国际机场,福州
HAK,海口美兰国际机场,海口
HET,呼和浩特白塔国际机场,呼和浩特
HFE,合肥新桥国际机场,合肥
HGH,杭州萧山国际机场,杭州
HIA,淮安涟水国际机场,淮安
HRB,哈尔滨太平国际机场,哈尔滨
HUZ,惠州平潭机场,惠州
INC,银川河东国际机场,银川
JJN,泉州晋江国际机场,泉州
KHN,南昌昌北国际机场,南昌
KMG,昆明长水国际机场,昆明
KWE,贵阳龙洞堡国际机场,贵阳
KWL,桂林两江国际机场,桂林
LHW,兰州中川国际机场,兰州
LXA,拉萨贡嘎国际机场,拉萨
LYA,洛阳北郊机场,洛阳
NGB,宁波栎社国际机场,宁波
NKG,南京禄口国际机场,南京
NNG,南宁吴圩国际机场,南宁
NTG,南通兴东国际机场,南通
PEK,北京首都国际机场,北京
PKX,北京大兴国际机场,北京
PVG,上海浦东国际机场,上海
SHA,上海虹桥国际机场,上海
SHE,沈阳桃仙国际机场,沈阳
SYX,三亚凤凰国际机场,三亚
SZX,深圳宝安国际机场,深圳
TAO,青岛胶东国际机场,青岛
TFU,成都天府国际机场,成都
TNA,济南遥墙国际机场,济南
TSN,天津滨海国际机场,天津
TYN,太原武宿国际机场,太原
URC,乌鲁木齐地窝堡国际机场,乌鲁木齐
WEH,威海大水泊国际机场,威海
WNZ,温州龙湾国际机场,温州
WUH,武汉天河国际机场,武汉
WUX,苏南硕放国际机场,无锡
XIY,西安咸阳国际机场,西安
XMN,厦门高崎国际机场,厦门
XNN,西宁曹家堡国际机场,西宁
XUZ,徐州观音国际机场,徐州
YNT,烟台蓬莱国际机场,烟台
YTY,扬州泰州国际机场,扬州
ZUH,珠海金湾机场,珠海
