flight_no,stop_order,airport_code
FM1035,1,KHN
FM1037,1,CGO
FM1050,1,XUZ
FM2618,1,XUZ
FM2939,1,KMG
FM3199,1,HFE
FM3492,1,INC
FM3728,1,LYA
FM3892,1,HET
FM4155,1,LHW
FM4331,1,XUZ
FM4441,1,HAK
FM5067,1,NNG
FM5457,1,TNA
FM5693,1,HAK
FM5841,1,SHE
FM5916,1,LHW
FM7278,1,XIY
FM7545,1,HAK
FM7912,1,KWE
FM8225,1,XIY
FM8282,1,XMN
FM8373,1,WUX
FM8443,1,TYN
FM8865,1,PKX
FM8889,1,NGB
FM8988,1,TAO
FM9077,1,NGB
FM9542,1,NGB
FM9996,1,NGB
MU1037,1,ZUH
MU1119,1,INC
MU1275,1,TAO
MU1276,1,HGH
MU1346,1,ZUH
MU1416,1,DLC
MU1420,1,NGB
MU1427,1,WNZ
MU1540,1,HAK
MU1583,1,CGO
MU1783,1,HGH
MU1975,1,KWL
MU2032,1,HUZ
MU2103,1,PVG
MU2213,1,WNZ
MU2277,1,XNN
MU2407,1,KWL
MU2466,1,SYX
MU2497,1,XUZ
MU2515,1,YNT
MU2524,1,HRB
MU2759,1,HAK
MU2811,1,CKG
MU3026,1,SZX
MU3126,1,HIA
MU3130,1,FOC
MU3245,1,XUZ
MU3278,1,WEH
MU3752,1,XNN
MU3852,1,XMN
MU3858,1,SHE
MU3894,1,KWE
MU3967,1,TNA
MU3988,1,WUH
MU4010,1,HRB
MU4259,1,TSN
MU4266,1,LHW
MU4357,1,CSX
MU4405,1,KHN
MU4442,1,CTU
MU4488,1,WUX
MU4537,1,HET
MU4583,1,HUZ
MU4682,1,TYN
MU4779,1,LXA
MU4813,1,YNT
MU4825,1,CSX
MU5051,1,CAN
MU5282,1,HUZ
MU5407,1,SZX
MU5487,1,SHA
MU5530,1,FOC
MU5558,1,ZUH
MU5669,1,CAN
MU5782,1,PEK
MU5958,1,XIY
MU6104,1,NNG
MU6135,1,SHE
MU6143,1,HGH
MU6274,1,ZUH
MU6286,1,CAN
MU6310,1,CKG
MU6413,1,XIY
MU6447,1,SHA
MU6646,1,PVG
MU6673,1,CKG
MU6756,1,HUZ
MU6785,1,LXA
MU6860,1,SZX
MU6892,1,CTU
MU6898,1,CTU
MU6930,1,KWL
MU6979,1,HIA
MU7062,1,WUX
MU7067,1,TNA
MU7117,1,HGH
MU7124,1,CSX
MU7157,1,XIY
MU7219,1,XMN
MU7263,1,CGO
MU7317,1,KMG
MU7398,1,FOC
MU7419,1,LHW
MU7432,1,YTY
MU7479,1,INC
MU7569,1,KWL
MU7583,1,LXA
MU7605,1,CZX
MU7772,1,XUZ
MU7848,1,HUZ
MU7877,1,KHN
MU7903,1,WUH
MU7914,1,LXA
MU8027,1,LHW
MU8062,1,HIA
MU8168,1,LYA
MU8187,1,WUX
MU8350,1,HUZ
MU8381,1,XMN
MU8517,1,XMN
MU8639,1,SHA
MU8646,1,TNA
MU8871,1,WEH
MU9015,1,WEH
MU9039,1,KHN
MU9366,1,ZUH
MU9497,1,LHW
MU9557,1,XNN
MU9673,1,YTY
MU9704,1,WUX
MU9723,1,NTG
MU9780,1,NKG
MU9920,1,CSX
MU9943,1,PVG
