flight_no,weekday
FM1035,1
FM1035,2
FM1035,3
FM1035,4
FM1035,5
FM1035,6
FM1035,7
FM1037,1
FM1037,2
FM1037,3
FM1037,4
FM1037,5
FM1037,6
FM1037,7
FM1050,1
FM1050,2
FM1050,3
FM1050,4
FM1050,5
FM1050,6
FM1050,7
FM1078,2
FM1078,4
FM1078,6
FM1152,1
FM1152,3
FM1152,5
FM1152,7
FM1158,1
FM1158,2
FM1158,3
FM1158,4
FM1158,5
FM1158,6
FM1158,7
FM1168,1
FM1168,2
FM1168,3
FM1168,4
FM1168,5
FM1168,6
FM1168,7
FM1189,1
FM1189,2
FM1189,3
FM1189,4
FM1189,5
FM1189,6
FM1189,7
FM1198,1
FM1198,2
FM1198,3
FM1198,4
FM1198,5
FM1198,6
FM1198,7
FM1240,1
FM1240,2
FM1240,3
FM1240,4
FM1240,5
FM1240,6
FM1240,7
FM1260,1
FM1260,2
FM1260,4
FM1260,5
FM1260,6
FM1332,1
FM1332,2
FM1332,3
FM1332,4
FM1332,5
FM1332,6
FM1332,7
FM1334,1
FM1334,3
FM1334,5
FM1334,7
FM1339,2
FM1339,4
FM1339,6
FM1356,3
FM1356,4
FM1356,5
FM1356,6
FM1356,7
FM1417,1
FM1417,2
FM1417,3
FM1417,4
FM1417,5
FM1417,6
FM1417,7
FM1456,1
FM1456,2
FM1456,3
FM1456,4
FM1456,5
FM1456,6
FM1456,7
FM1458,2
FM1458,3
FM1458,5
FM1458,6
FM1458,7
FM1472,1
FM1472,2
FM1472,3
FM1472,4
FM1472,5
FM1472,6
FM1472,7
FM1479,1
FM1479,2
FM1479,3
FM1479,4
FM1479,5
FM1479,6
FM1479,7
FM1489,1
FM1489,2
FM1489,3
FM1489,4
FM1489,5
FM1489,6
FM1489,7
FM1496,1
FM1496,3
FM1496,5
FM1496,7
FM1521,1
FM1521,2
FM1521,3
FM1521,4
FM1521,5
FM1521,6
FM1521,7
FM1553,1
FM1553,2
FM1553,3
FM1553,4
FM1553,5
FM1553,6
FM1553,7
FM1591,1
FM1591,3
FM1591,5
FM1591,7
FM1616,2
FM1616,4
FM1616,6
FM1625,1
FM1625,2
FM1625,3
FM1625,4
FM1625,5
FM1625,6
FM1625,7
FM1653,1
FM1653,3
FM1653,5
FM1653,7
FM1685,1
FM1685,2
FM1685,3
FM1685,4
FM1685,5
FM1685,6
FM1685,7
FM1732,2
FM1732,4
FM1732,6
FM1771,2
FM1771,4
FM1771,6
FM1774,1
FM1774,4
FM1824,1
FM1824,3
FM1824,5
FM1824,7
FM1869,1
FM1869,3
FM1891,1
FM1891,2
FM1891,3
FM1891,4
FM1891,5
FM1891,6
FM1891,7
FM1894,1
FM1894,2
FM1894,3
FM1894,4
FM1894,5
FM1894,6
FM1894,7
FM1919,2
FM1919,4
FM1919,6
FM1926,1
FM1926,2
FM1926,3
FM1926,4
FM1926,5
