flight_no,scheduled_departure,scheduled_arrival,fuel_infra_fee,dep_airport_code,dep_terminal,arr_airport_code,arr_terminal,airline_code,aircraft_model
FM1035,14:35:00,18:27:00,70,XIY,T1,YNT,T3,FM,B738
FM1037,23:30:00,01:22:00,90,TFU,T1,HET,T2,FM,A319
FM1050,07:40:00,08:55:00,60,HUZ,T3,HFE,T2,FM,C919
FM1078,22:15:00,02:06:00,70,PEK,T2,CGO,T1,FM,ARJ21
FM1152,13:05:00,17:14:00,50,PVG,T2,TAO,T1,FM,ARJ21
FM1158,18:50:00,23:45:00,90,CTU,T1,PKX,T2,FM,B738
FM1168,21:30:00,01:29:00,70,PEK,T3,NTG,T2,FM,ARJ21
FM1189,14:25:00,16:49:00,70,XIY,T3,SHA,T1,FM,A320
FM1198,20:15:00,22:16:00,90,TFU,T3,ZUH,T1,FM,A321
FM1240,15:30:00,18:07:00,60,PEK,T2,WUH,T1,FM,C919
FM1260,15:15:00,20:12:00,70,CTU,T1,KHN,T3,FM,A320
FM1332,10:10:00,13:29:00,50,KWE,T2,XNN,T1,FM,A321
FM1334,18:45:00,23:36:00,70,TFU,T3,HFE,T3,FM,C919
FM1339,09:25:00,12:28:00,90,PEK,T2,SHA,T2,FM,A359
FM1356,16:10:00,21:11:00,50,TFU,T3,SZX,T3,FM,B789
FM1417,06:10:00,08:35:00,50,PVG,T2,INC,T1,FM,A359
FM1456,10:50:00,13:06:00,50,LYA,T1,WUH,T1,FM,C919
FM1458,08:40:00,11:53:00,70,CZX,T2,WEH,T1,FM,C919
FM1472,15:00:00,18:34:00,60,XIY,T1,YNT,T1,FM,A320
FM1479,15:20:00,18:28:00,70,SZX,T1,PVG,T1,FM,A319
FM1489,16:15:00,19:48:00,90,CTU,T1,NNG,T3,FM,C919
FM1496,07:45:00,11:33:00,90,YNT,T3,NTG,T1,FM,ARJ21
FM1521,14:15:00,17:43:00,90,XIY,T2,LYA,T3,FM,A321
FM1553,21:50:00,00:23:00,90,CAN,T2,KHN,T1,FM,ARJ21
FM1591,12:10:00,15:26:00,90,PKX,T3,NGB,T3,FM,B738
FM1616,19:40:00,00:14:00,50,XIY,T2,NKG,T3,FM,C919
FM1625,12:35:00,14:37:00,90,XIY,T2,SHA,T2,FM,A321
FM1653,11:40:00,14:18:00,60,PKX,T1,XIY,T1,FM,C919
FM1685,19:40:00,23:05:00,90,CTU,T3,FOC,T1,FM,A321
FM1732,09:20:00,11:17:00,70,PKX,T3,SYX,T3,FM,C919
FM1771,11:40:00,16:22:00,70,SZX,T2,PVG,T1,FM,A321
FM1774,12:45:00,16:09:00,60,WEH,T3,ZUH,T3,FM,A319
FM1824,15:55:00,17:57:00,90,YNT,T2,XIY,T1,FM,A319
FM1869,17:20:00,19:29:00,50,PKX,T3,ZUH,T2,FM,C919
FM1891,10:05:00,12:15:00,90,KMG,T1,YNT,T3,FM,A321
FM1894,18:20:00,20:09:00,90,CTU,T2,JJN,T1,FM,A319
FM1919,10:55:00,14:25:00,60,HGH,T1,SHE,T3,FM,ARJ21
FM1926,21:20:00,01:03:00,70,SHE,T2,NNG,T2,FM,B738
FM1927,22:20:00,01:38:00,90,TFU,T1,CAN,T3,FM,C919
FM1999,13:15:00,17:04:00,70,KMG,T2,XNN,T1,FM,ARJ21
FM2007,15:50:00,19:21:00,60,PKX,T3,NGB,T3,FM,A332
FM2016,17:10:00,21:35:00,50,KMG,T1,TFU,T1,FM,ARJ21
FM2039,06:10:00,09:21:00,50,PVG,T2,LXA,T3,FM,A319
FM2069,10:25:00,12:31:00,90,KHN,T2,TAO,T3,FM,A320
FM2082,17:30:00,21:50:00,50,CAN,T1,ZUH,T3,FM,C919
FM2118,10:10:00,12:20:00,90,PKX,T3,TSN,T3,FM,A319
FM2140,17:00:00,22:03:00,70,KWE,T1,WEH,T2,FM,A320
FM2152,23:50:00,03:33:00,70,CTU,T2,WEH,T1,FM,A319
FM2199,17:50:00,20:13:00,90,CAN,T1,PVG,T3,FM,A321
FM2215,18:35:00,20:26:00,60,WUX,T1,XUZ,T2,FM,A319
FM2251,16:20:00,19:37:00,50,CAN,T1,FOC,T2,FM,A320
FM2269,19:20:00,22:45:00,60,KMG,T1,WNZ,T1,FM,B738
FM2288,08:45:00,11:59:00,60,PVG,T2,HUZ,T3,FM,A332
FM2296,12:00:00,14:42:00,90,PKX,T2,KWL,T3,FM,ARJ21
FM2307,16:00:00,19:14:00,70,PKX,T1,CZX,T2,FM,ARJ21
FM2309,14:00:00,18:16:00,90,TFU,T3,FOC,T3,FM,B738
FM2312,11:30:00,16:00:00,60,KWE,T1,URC,T1,FM,A319
FM2337,21:15:00,01:13:00,50,PKX,T2,CGO,T2,FM,A320
FM2340,17:20:00,20:11:00,60,NKG,T3,LHW,T1,FM,B738
FM2376,21:20:00,00:10:00,70,PVG,T1,CSX,T3,FM,A359
FM2382,22:50:00,00:34:00,60,SHA,T2,PVG,T3,FM,A321
FM2438,18:10:00,22:27:00,70,XIY,T1,CZX,T1,FM,B738
FM2444,11:10:00,13:14:00,90,XIY,T1,ZUH,T3,FM,C919
FM2445,13:55:00,15:47:00,70,KMG,T1,WEH,T1,FM,A321
FM2447,17:35:00,22:39:00,90,TFU,T1,CZX,T2,FM,B738
FM2474,18:50:00,21:37:00,70,NTG,T2,TNA,T3,FM,A321
FM2509,21:45:00,00:40:00,60,PKX,T1,XMN,T1,FM,C919
FM2539,06:35:00,09:17:00,60,XMN,T3,LYA,T1,FM,C919
FM2554,22:20:00,00:36:00,90,SZX,T3,YTY,T3,FM,B738
FM2567,07:05:00,10:56:00,70,HGH,T2,URC,T1,FM,A319
FM2574,07:35:00,11:54:00,60,SZX,T1,CTU,T3,FM,A321
FM2582,08:10:00,12:32:00,70,PKX,T1,WNZ,T2,FM,A332
FM2586,11:35:00,16:00:00,50,KMG,T2,YTY,T1,FM,B738
FM2590,18:55:00,20:16:00,50,CTU,T1,CSX,T2,FM,A320
FM2618,15:40:00,20:00:00,60,SZX,T2,KWL,T1,FM,B738
FM2639,14:05:00,17:24:00,60,KMG,T1,LXA,T1,FM,A321
FM2649,14:00:00,16:23:00,70,URC,T2,WUH,T3,FM,A319
FM2678,10:15:00,12:59:00,70,PKX,T1,WEH,T3,FM,A321
FM2687,12:10:00,16:06:00,60,TFU,T2,DLC,T2,FM,A359
FM2692,09:05:00,13:06:00,70,SHE,T3,INC,T1,FM,C919
FM2731,13:50:00,16:28:00,50,KMG,T3,YTY,T2,FM,ARJ21
FM2753,15:25:00,18:38:00,70,CGO,T1,XNN,T2,FM,A321
FM2759,07:00:00,09:37:00,70,SZX,T3,TAO,T1,FM,ARJ21
FM2766,12:35:00,15:33:00,90,HUZ,T2,FOC,T3,FM,ARJ21
FM2856,13:00:00,17:39:00,90,PVG,T1,KMG,T1,FM,A319
FM2865,19:05:00,22:58:00,60,CTU,T3,WUH,T3,FM,B738
FM2925,07:50:00,11:58:00,70,LXA,T2,CZX,T1,FM,A320
FM2939,12:50:00,14:54:00,90,HFE,T2,HET,T2,FM,B789
FM2944,16:40:00,19:12:00,90,PEK,T1,TSN,T1,FM,B738
FM2962,12:15:00,16:32:00,90,SZX,T1,CSX,T2,FM,A319
FM3002,10:10:00,12:00:00,90,CTU,T1,SYX,T3,FM,A320
FM3008,21:45:00,02:19:00,70,PVG,T2,ZUH,T2,FM,B738
FM3013,18:30:00,22:26:00,50,TFU,T1,HAK,T2,FM,C919
FM3022,06:45:00,10:22:00,60,WUX,T1,CGO,T3,FM,A321
FM3034,19:05:00,20:50:00,70,SHA,T2,PKX,T2,FM,A321
FM3061,17:50:00,20:56:00,90,PKX,T1,HAK,T1,FM,A321
FM3096,09:25:00,11:10:00,60,HET,T1,KWL,T1,FM,A320
FM3132,18:30:00,23:15:00,90,NTG,T3,CKG,T2,FM,ARJ21
FM3139,15:50:00,17:49:00,50,SHA,T2,TAO,T2,FM,A333
FM3149,11:40:00,16:07:00,70,CTU,T3,TAO,T2,FM,C919
FM3163,14:35:00,19:31:00,60,JJN,T2,YNT,T3,FM,C919
FM3176,19:25:00,21:46:00,70,SZX,T2,FOC,T2,FM,A321
FM3199,13:15:00,16:27:00,60,YTY,T3,HAK,T2,FM,A320
FM3217,14:15:00,17:55:00,50,PKX,T2,WEH,T1,FM,A359
FM3223,06:35:00,09:54:00,70,CAN,T2,SHE,T3,FM,A320
FM3247,20:15:00,01:05:00,60,SZX,T1,YTY,T2,FM,A319
FM3255,12:25:00,15:37:00,60,CTU,T2,INC,T3,FM,A319
FM3290,06:45:00,09:14:00,70,TSN,T3,SHA,T2,FM,A332
FM3298,11:20:00,15:41:00,90,PVG,T3,TSN,T1,FM,A359
FM3333,20:25:00,23:55:00,70,PVG,T3,KWE,T1,FM,A321
FM3351,11:10:00,14:17:00,60,SZX,T2,KHN,T2,FM,ARJ21
FM3410,13:00:00,15:14:00,50,JJN,T3,WUH,T2,FM,A321
FM3447,13:10:00,16:36:00,50,SZX,T2,CTU,T3,FM,B738
FM3484,21:15:00,01:29:00,60,PKX,T1,YTY,T2,FM,A333
FM3492,09:30:00,13:41:00,60,PEK,T1,URC,T2,FM,A321
FM3509,14:15:00,16:26:00,90,PVG,T1,SHE,T1,FM,ARJ21
FM3517,21:10:00,01:06:00,70,PKX,T3,FOC,T2,FM,ARJ21
FM3537,18:35:00,19:43:00,70,NKG,T3,NGB,T1,FM,B738
FM3570,18:05:00,22:07:00,90,SZX,T2,HIA,T2,FM,ARJ21
FM3595,19:05:00,21:04:00,90,XIY,T3,XUZ,T2,FM,B738
FM3596,20:40:00,01:01:00,90,PVG,T2,SHE,T2,FM,B789
FM3611,10:15:00,14:55:00,90,PKX,T1,SYX,T2,FM,A319
FM3649,19:35:00,23:48:00,60,KMG,T2,CZX,T1,FM,ARJ21
FM3664,22:20:00,01:37:00,50,JJN,T1,CKG,T2,FM,ARJ21
FM3688,19:55:00,23:03:00,50,CAN,T3,HUZ,T3,FM,B738
FM3693,20:15:00,00:02:00,70,SZX,T1,YNT,T2,FM,A320
FM3694,09:45:00,14:51:00,50,NKG,T1,PVG,T3,FM,A320
FM3727,06:35:00,09:11:00,50,XIY,T1,JJN,T1,FM,A321
FM3728,21:00:00,01:29:00,90,XIY,T3,NTG,T1,FM,B738
FM3743,10:55:00,13:49:00,60,KMG,T1,LYA,T2,FM,A319
FM3744,16:40:00,18:51:00,90,CAN,T2,HAK,T2,FM,A319
FM3746,13:15:00,16:49:00,90,PVG,T1,URC,T1,FM,C919
FM3753,16:50:00,20:05:00,70,PKX,T1,CGO,T2,FM,A321
FM3770,21:30:00,02:36:00,70,SZX,T3,CSX,T2,FM,A319
FM3786,19:00:00,21:44:00,50,HUZ,T2,INC,T2,FM,A320
FM3844,19:55:00,22:30:00,90,KMG,T1,CTU,T2,FM,ARJ21
FM3870,09:05:00,11:09:00,60,NNG,T3,XIY,T1,FM,A321
FM3892,07:45:00,11:23:00,90,WNZ,T2,SZX,T2,FM,A321
FM3916,15:55:00,19:35:00,70,KHN,T1,JJN,T2,FM,ARJ21
FM3924,10:35:00,14:40:00,50,HET,T2,YNT,T1,FM,B738
FM3943,07:45:00,10:33:00,70,SYX,T3,HET,T2,FM,ARJ21
FM3973,10:40:00,15:08:00,90,PEK,T1,XMN,T3,FM,B738
FM3976,07:05:00,11:06:00,50,CKG,T2,XIY,T3,FM,A320
FM3981,11:40:00,15:23:00,50,PKX,T3,HRB,T2,FM,A321
FM4042,10:05:00,15:08:00,70,PEK,T3,XMN,T3,FM,C919
FM4050,11:10:00,13:47:00,60,PEK,T2,WEH,T2,FM,A320
FM4087,10:25:00,12:10:00,90,KMG,T2,KWL,T3,FM,ARJ21
FM4100,21:20:00,01:41:00,70,CAN,T2,HIA,T1,FM,A320
FM4122,22:10:00,00:23:00,90,CTU,T1,TAO,T2,FM,A320
FM4128,11:30:00,14:49:00,70,WNZ,T1,HFE,T2,FM,ARJ21
FM4155,17:55:00,22:46:00,60,XIY,T2,KWE,T3,FM,A321
